,track_id,cluster
519,Crumblin' DownJohn Cougar Mellencamp,12
520,2 Legit 2 QuitM.C. Hammer,18
521,Do You Know (What It Takes)Robyn,70
522,Overnight CelebrityTwista,78
523,"Corinna, CorinnaRay Peterson",67
524,"Release MeEsther Phillips ""Little Esther""",34
525,Don't Let The Rain Come Down (Crooked Little Man)The Serendipity Singers,67
526,Taste Of HoneyHerb Alpert & The Tijuana Brass,110
527,Rainy Night In Georgia/Rubberneckin'Brook Benton,57
528,CherishDavid Cassidy,63
529,Rock And Roll MusicThe Beach Boys,108
530,Slow HandThe Pointer Sisters,101
531,Don't Stop Believin'Journey,90
532,Penny LoverLionel Richie,26
533,Pop LifePrince And The Revolution,14
534,Take Me HomePhil Collins,65
535,Shape Of My HeartBackstreet Boys,49
536,Rock Wit U (Awww Baby)Ashanti,104
537,Don't MindKent Jones,36
538,P.T. 109Jimmy Dean,1
539,Talk Back Trembling LipsJohnny Tillotson,82
540,Shoo-Be-Doo-Be-Doo-Da-DayStevie Wonder,42
541,Don't StopFleetwood Mac,30
542,ShipsBarry Manilow,94
543,One On OneDaryl Hall John Oates,14
544,Stand BackStevie Nicks,26
545,AngelMadonna,7
546,Suicide BlondeINXS,94
547,Breathe AgainToni Braxton,7
548,"Can You Feel The Love Tonight (From ""The Lion King"")Elton John",27
549,Come On Over Baby (All I Want Is You)Christina Aguilera,30
550,AddictiveTruth Hurts Featuring Rakim,42
551,All Falls DownKanye West Featuring Syleena Johnson,64
552,PipelineChantay's,82
553,Cool JerkThe Capitols,110
554,DominoVan Morrison,45
555,Rich GirlDaryl Hall John Oates,112
556,Stray Cat StrutStray Cats,102
557,(she's) Sexy + 17Stray Cats,76
558,Summer Of '69Bryan Adams,20
559,Small TownJohn Mellencamp,102
560,Pink CadillacNatalie Cole,94
561,Armageddon ItDef Leppard,65
562,Oops!...I Did It AgainBritney Spears,42
563,AngelShaggy Featuring Rayvon,112
564,Be Good To YourselfJourney,7
565,Cat's In The CradleUgly Kid Joe,50
566,Dear Mama/Old School2Pac,77
567,Paper In FireJohn Mellencamp,54
568,Ain't 2 Proud 2 BegTLC,107
569,She Will Be LovedMaroon 5,49
570,Because Of YouKelly Clarkson,55
571,Blue AngelRoy Orbison,84
572,Bad TimeGrand Funk,94
573,SaraStarship,104
574,"After All (Love Theme From ""Chances Are"")Cher & Peter Cetera",78
575,Better Be Good To MeTina Turner,94
576,Black BeatlesRae Sremmurd Featuring Gucci Mane,96
577,Outa-SpaceBilly Preston,57
578,Bus StopThe Hollies,109
579,Rhythm Of The NightDebarge,30
580,Come To MeDiddy Featuring Nicole Scherzinger,75
581,Stand By MeBen E. King,79
582,Don't Bring Me DownElectric Light Orchestra,90
583,Swingin' SchoolBobby Rydell,80
584,Teen Age IdolRick Nelson,59
585,She's Not YouElvis Presley With The Jordanaires,18
586,That's All You Gotta DoBrenda Lee,3
587,Shout - Part IJoey Dee & the Starliters,42
588,Standing In The Shadows Of LoveFour Tops,26
589,Say It RightNelly Furtado,107
590,Breakin' In A Brand New Broken HeartConnie Francis,61
591,All The StarsKendrick Lamar & SZA,49
592,Show Me LoveRobyn,58
593,A Bay BayHurricane Chris,6
594,The Ballad Of John And YokoThe Beatles,78
595,BartenderT-Pain Featuring Akon,23
596,Stir FryMigos,111
597,Queen Of The HopBobby Darin,82
598,"C'mon MarianneThe 4 Seasons Featuring the ""Sound of Frankie Valli""",114
599,Summertime SadnessLana Del Rey & Cedric Gervais,30
600,As If I Didn't KnowAdam Wade,17
601,Do The BirdDee Dee Sharp,103
602,Dead Man's CurveJan & Dean,60
603,"Somewhere, My LoveRay Conniff And The Singers",110
604,SummertimeBilly Stewart,84
605,Do You Know The Way To San JoséDionne Warwick,91
606,Reach Out Of The DarknessFriend And Lover,68
607,Share The LandThe Guess Who,35
608,Sugar DaddyJackson 5,114
609,Take It AwayPaul McCartney,7
610,Church Of The Poison MindCulture Club,7
611,Sleeping BagZZ Top,26
612,The Edge Of HeavenWham!,7
613,Bed Of RosesBon Jovi,112
614,AnniversaryTony Toni Tone,13
615,Said I Loved You...But I LiedMichael Bolton,18
616,Another NightReal McCoy,2
617,Stay The SameJoey McIntyre,12
618,808Blaque,60
619,24/7Kevon Edmonds,59
620,Sweet Talkin' GuyThe Chiffons,16
621,Can I Change My MindTyrone Davis,114
622,Rock MeSteppenwolf,94
623,All I KnowGarfunkel,110
624,(Every Time I Turn Around) Back In Love AgainLTD,1
625,(There's) No Gettin' Over MeRonnie Milsap,24
626,Did It In A MinuteDaryl Hall John Oates,94
627,Don't CryAsia,7
628,Cover MeBruce Springsteen,102
629,Ooh La La (I Can't Get Over You)Perfect Gentlemen,32
630,Set The Night To MusicRoberta Flack With Maxi Priest,15
631,Because Of LoveJanet Jackson,12
632,Sk8er BoiAvril Lavigne,50
633,A Boy Without A GirlFrankie Avalon,61
634,Cast Your Fate To The WindSounds Orchestral,69
635,Do You Believe In MagicThe Lovin' Spoonful,55
636,Barefootin'Robert Parker,82
637,School's OutAlice Cooper,2
638,Some Kind Of WonderfulGrand Funk,65
