,track_id,cluster,peak_pos,artist,track
24418,Vox HumanaKenny Loggins,108,64.0,Kenny Loggins,Vox Humana
24419,VoyeurKim Carnes,92,71.0,Kim Carnes,Voyeur
24420,VulnerableSecondhand Serenade,93,83.0,Secondhand Serenade,Vulnerable
24421,W O R K I N M EQuavo,1,72.0,Quavo,W O R K I N M E
24422,Wabash BluesThe Viscounts,99,99.0,The Viscounts,Wabash Blues
24423,Wack WackThe Young Holt Trio,1,91.0,The Young Holt Trio,Wack Wack
24424,Wade In The WaterHerb Alpert & The Tijuana Brass,83,71.0,Herb Alpert & The Tijuana Brass,Wade In The Water
24425,Wade In The WaterRamsey Lewis,19,100.0,Ramsey Lewis,Wade In The Water
24426,WadsyanameNelly,11,43.0,Nelly,Wadsyaname
24427,Wagon WheelDarius Rucker,94,96.0,Darius Rucker,Wagon Wheel
24428,Wait (The Whisper Song)Ying Yang Twins,3,94.0,Ying Yang Twins,Wait (The Whisper Song)
24429,Wait A MinuteRay J Featuring Lil' Kim,86,76.0,Ray J Featuring Lil' Kim,Wait A Minute
24430,Wait A MinuteThe Coasters,119,100.0,The Coasters,Wait A Minute
24431,Wait A MinuteThe Pussycat Dolls Featuring Timbaland,81,100.0,The Pussycat Dolls Featuring Timbaland,Wait A Minute
24432,Wait A MinuteTim Tam And The Turn-Ons,1,91.0,Tim Tam And The Turn-Ons,Wait A Minute
24433,Wait For A MinuteTyga & Justin Bieber,97,68.0,Tyga & Justin Bieber,Wait For A Minute
24434,Wait For MeDaryl Hall John Oates,11,87.0,Daryl Hall John Oates,Wait For Me
24435,Wait For MeThe Playmates,1,92.0,The Playmates,Wait For Me
24436,Wait For YouBonham,62,91.0,Bonham,Wait For You
24437,Wait For YouElliott Yamin,115,100.0,Elliott Yamin,Wait For You
24438,Wait On LoveMichael Bolton,100,96.0,Michael Bolton,Wait On Love
24439,Wait Til' My Bobby Gets HomeDarlene Love,36,90.0,Darlene Love,Wait Til' My Bobby Gets Home
24440,Waitin' In Your Welfare LineBuck Owens,72,93.0,Buck Owens,Waitin' In Your Welfare Line
24441,Waitin' On A WomanBrad Paisley,91,99.0,Brad Paisley,Waitin' On A Woman
24442,Waiting At The Bus StopBobby Sherman,99,67.0,Bobby Sherman,Waiting At The Bus Stop
24443,Waiting For A Girl Like YouForeigner,68,42.0,Foreigner,Waiting For A Girl Like You
24444,Waiting For A Star To FallBoy Meets Girl,100,83.0,Boy Meets Girl,Waiting For A Star To Fall
24445,Waiting For LoveAlias,53,71.0,Alias,Waiting For Love
24446,Waiting For SupermanDaughtry,100,100.0,Daughtry,Waiting For Superman
24447,Waiting For That DayGeorge Michael,68,68.0,George Michael,Waiting For That Day
24448,Waiting For The EndLinkin Park,44,100.0,Linkin Park,Waiting For The End
24449,Waiting For TonightJennifer Lopez,11,56.0,Jennifer Lopez,Waiting For Tonight
24450,Waiting For WednesdayLisa Loeb & Nine Stories,82,93.0,Lisa Loeb & Nine Stories,Waiting For Wednesday
24451,Waiting For Your LoveToto,80,90.0,Toto,Waiting For Your Love
24452,Waiting For YouSeal,45,98.0,Seal,Waiting For You
24453,Waiting GameSwing Out Sister,114,96.0,Swing Out Sister,Waiting Game
24454,Waiting On A FriendThe Rolling Stones,8,70.0,The Rolling Stones,Waiting On A Friend
24455,Waiting On The World To ChangeJohn Mayer,93,25.0,John Mayer,Waiting On The World To Change
24456,WaitJimmy Clanton,84,100.0,Jimmy Clanton,Wait
24457,WaitMaroon 5,82,93.0,Maroon 5,Wait
24458,WaitWhite Lion,2,88.0,White Lion,Wait
24459,Waka Waka (This Time For Africa)Shakira Featuring Freshlyground,48,80.0,Shakira Featuring Freshlyground,Waka Waka (This Time For Africa)
24460,WAKA6ix9ine Featuring A Boogie Wit da Hoodie,65,71.0,6ix9ine Featuring A Boogie Wit da Hoodie,WAKA
24461,Wake Me Up Before You Go-GoWham!,1,80.0,Wham!,Wake Me Up Before You Go-Go
24462,Wake Me Up When September EndsGreen Day,95,98.0,Green Day,Wake Me Up When September Ends
24463,Wake Me Up!Avicii,11,81.0,Avicii,Wake Me Up!
24464,Wake Me When It's OverAndy Williams,1,92.0,Andy Williams,Wake Me When It's Over
24465,"Wake Me, Shake MeThe Coasters",113,87.0,The Coasters,"Wake Me, Shake Me"
24466,Wake Up (Next To You)Graham Parker & The Shot,14,82.0,Graham Parker & The Shot,Wake Up (Next To You)
24467,Wake Up And Be SomebodyBrainstorm,41,90.0,Brainstorm,Wake Up And Be Somebody
24468,When There's No YouEngelbert Humperdinck,3,67.0,Engelbert Humperdinck,When There's No You
24469,When Things Go WrongRobin Lane & The Chartbusters,79,87.0,Robin Lane & The Chartbusters,When Things Go Wrong
24470,When Tomorrow ComesCarla Thomas,58,99.0,Carla Thomas,When Tomorrow Comes
24471,When We DanceSting,114,81.0,Sting,When We Dance
24472,When We Get MarriedLarry Graham,87,88.0,Larry Graham,When We Get Married
24473,When We Get MarriedThe Dreamlovers,76,97.0,The Dreamlovers,When We Get Married
24474,When We Get MarriedThe Intruders,93,90.0,The Intruders,When We Get Married
24475,When We KissBardeux,68,67.0,Bardeux,When We Kiss
24476,When We Make LoveAlabama,85,90.0,Alabama,When We Make Love
24477,When We Stand TogetherNickelback,82,48.0,Nickelback,When We Stand Together
24478,When We Was FabGeorge Harrison,28,63.0,George Harrison,When We Was Fab
24479,When We Were YoungAdele,68,22.0,Adele,When We Were Young
24480,When WeTank,32,97.0,Tank,When We
24481,When Will I Be Famous?Bros,44,96.0,Bros,When Will I Be Famous?
24482,When Will I Be LovedLinda Ronstadt,43,81.0,Linda Ronstadt,When Will I Be Loved
24483,When Will I Be LovedThe Everly Brothers,43,96.0,The Everly Brothers,When Will I Be Loved
24484,When Will I KnowGeorge Hamilton IV,40,99.0,George Hamilton IV,When Will I Know
24485,When Will I See You AgainThe Three Degrees,3,94.0,The Three Degrees,When Will I See You Again
24486,When Will I See You Smile Again?Bell Biv DeVoe,32,92.0,Bell Biv DeVoe,When Will I See You Smile Again?
24487,When You BelieveWhitney Houston & Mariah Carey,91,51.0,Whitney Houston & Mariah Carey,When You Believe
24488,When You Close Your EyesNight Ranger,114,72.0,Night Ranger,When You Close Your Eyes
24489,When You Dance I Can Really LoveNeil Young,112,93.0,Neil Young,When You Dance I Can Really Love
24490,When You DanceJay & The Americans,21,95.0,Jay & The Americans,When You Dance
24491,When You Feel LoveBob Mcgilpin,1,94.0,Bob Mcgilpin,When You Feel Love
24492,When You Get Right Down To ItRonnie Dyson,31,99.0,Ronnie Dyson,When You Get Right Down To It
24493,When You Get Right Down To ItThe Delfonics,107,83.0,The Delfonics,When You Get Right Down To It
24494,When You Lie Next To MeKellie Coffey,28,98.0,Kellie Coffey,When You Lie Next To Me
24495,When You Look Me In The EyesJonas Brothers,108,85.0,Jonas Brothers,When You Look Me In The Eyes
24496,The FloatHank Ballard And The Midnighters,73,92.0,Hank Ballard And The Midnighters,The Float
24497,The FloorJohnny Gill,74,82.0,Johnny Gill,The Floor
24498,The FlyChubby Checker,71,60.0,Chubby Checker,The Fly
24499,The FlyerSaga,45,82.0,Saga,The Flyer
24500,The FlyU2,46,74.0,U2,The Fly
24501,The Folk SingerTommy Roe,73,87.0,Tommy Roe,The Folk Singer
24502,The Fonz SongThe Heyettes,1,99.0,The Heyettes,The Fonz Song
24503,The Fool And The AngelBobby Helms,36,91.0,Bobby Helms,The Fool And The Angel
24504,The Fool On The HillSergio Mendes & Brasil '66,24,61.0,Sergio Mendes & Brasil '66,The Fool On The Hill
24505,The Football CardGlenn Sutton,1,70.0,Glenn Sutton,The Football Card
24506,The Fountain Of YouthThe Four Lads,6,92.0,The Four Lads,The Fountain Of Youth
24507,The FoxYlvis,87,29.0,Ylvis,The Fox
24508,The Free Electric BandAlbert Hammond,97,100.0,Albert Hammond,The Free Electric Band
24509,The FreezeTony And Joe,18,33.0,Tony And Joe,The Freeze
24510,The French SongLucille Starr,1,87.0,Lucille Starr,The French Song
24511,The FreshmenThe Verve Pipe,46,80.0,The Verve Pipe,The Freshmen
24512,The Funky GibbonThe Goodies,21,99.0,The Goodies,The Funky Gibbon
24513,The Funky JudgeBull & The Matadors,1,98.0,Bull & The Matadors,The Funky Judge
24514,The Funniest ThingDennis Yost And The Classics IV,58,85.0,Dennis Yost And The Classics IV,The Funniest Thing
24515,"The Future's So Bright, I Gotta Wear ShadesTimbuk 3",48,85.0,Timbuk 3,"The Future's So Bright, I Gotta Wear Shades"
24516,The GamblerKenny Rogers,87,84.0,Kenny Rogers,The Gambler
24517,The Game Is Over (What's The Matter With You)Brown Sugar,1,90.0,Brown Sugar,The Game Is Over (What's The Matter With You)
24518,The Game Of LoveSantana Featuring Michelle Branch,37,66.0,Santana Featuring Michelle Branch,The Game Of Love
24519,The Games We PlayPusha T,31,100.0,Pusha T,The Games We Play
24520,The Gangs Back AgainKool & The Gang,78,98.0,Kool & The Gang,The Gangs Back Again
24521,The GapThompson Twins,30,89.0,Thompson Twins,The Gap
24522,The Ghetto-Part 1Donny Hathaway,1,99.0,Donny Hathaway,The Ghetto-Part 1
24523,The GhettoToo $hort,62,94.0,Too $hort,The Ghetto
24524,The Ghost In YouPsychedelic Furs,63,85.0,Psychedelic Furs,The Ghost In You
24525,The Ghost Of YouMy Chemical Romance,79,84.0,My Chemical Romance,The Ghost Of You
24526,The GigoloO'Bryan,94,82.0,O'Bryan,The Gigolo
24527,The Girl From IpanemaStan Getz/Astrud Gilberto,1,87.0,Stan Getz/Astrud Gilberto,The Girl From Ipanema
24528,The Girl From Peyton PlaceDickey Lee,65,99.0,Dickey Lee,The Girl From Peyton Place
24529,The Girl I Knew SomewhereThe Monkees,10,65.0,The Monkees,The Girl I Knew Somewhere
24530,The Girl I Used To KnowBrother Beyond,37,69.0,Brother Beyond,The Girl I Used To Know
24531,The Girl I'll Never Know (Angels Never Fly This Low)Frankie Valli,45,84.0,Frankie Valli,The Girl I'll Never Know (Angels Never Fly This Low)
24532,The Girl Is MineMichael Jackson And Paul McCartney,81,45.0,Michael Jackson And Paul McCartney,The Girl Is Mine
24533,The Girl Most LikelyJeannie C. Riley,65,85.0,Jeannie C. Riley,The Girl Most Likely
24534,The Girl On Page 44The Four Lads,1,83.0,The Four Lads,The Girl On Page 44
24535,The Girl That Stood Beside MeBobby Darin,1,84.0,Bobby Darin,The Girl That Stood Beside Me
24536,The Girl Who Loved Me WhenThe Glass Bottle featuring Gary Criss,24,96.0,The Glass Bottle featuring Gary Criss,The Girl Who Loved Me When
24537,The Girl With The Story In Her EyesSafaris with The Phantom's Band,1,93.0,Safaris with The Phantom's Band,The Girl With The Story In Her Eyes
24538,The Girl's A DevilThe Dukays,76,99.0,The Dukays,The Girl's A Devil
24539,The Girls' SongThe 5th Dimension,45,69.0,The 5th Dimension,The Girls' Song
24540,The Glamorous LifeSheila E.,90,86.0,Sheila E.,The Glamorous Life
24541,The GlobeBig Audio,117,99.0,Big Audio,The Globe
24542,The Glory Of LoveThe Dells,92,92.0,The Dells,The Glory Of Love
24543,The Golden Age Of Rock 'n' RollMott The Hoople,48,96.0,Mott The Hoople,The Golden Age Of Rock 'n' Roll
24544,The Good LifeTony Bennett,18,75.0,Tony Bennett,The Good Life
24545,The Good Lord Loves YouNeil Diamond,103,85.0,Neil Diamond,The Good Lord Loves You
