,track_id,cluster,peak_pos,artist,track
8085,Eternal FlameThe Bangles,55,56.0,The Bangles,Eternal Flame
8086,Love In An ElevatorAerosmith,106,56.0,Aerosmith,Love In An Elevator
8087,Keep It TogetherMadonna,62,56.0,Madonna,Keep It Together
8088,I'll Be Your ShelterTaylor Dayne,95,56.0,Taylor Dayne,I'll Be Your Shelter
8089,"My, My, MyJohnny Gill",106,56.0,Johnny Gill,"My, My, My"
8090,Molly (Sixteen Candles)Sponge,87,56.0,Sponge,Molly (Sixteen Candles)
8091,I Hate UPrince,1,56.0,Prince,I Hate U
8092,I Love Me Some Him/I Don't Want ToToni Braxton,1,56.0,Toni Braxton,I Love Me Some Him/I Don't Want To
8093,Every Day Is Exactly The SameNine Inch Nails,2,56.0,Nine Inch Nails,Every Day Is Exactly The Same
8094,Like A StarCorinne Bailey Rae,69,56.0,Corinne Bailey Rae,Like A Star
8095,Keep Holding OnGlee Cast,69,56.0,Glee Cast,Keep Holding On
8096,Me Against The MusicGlee Cast,112,56.0,Glee Cast,Me Against The Music
8097,Fat Bottomed GirlsGlee Cast,80,56.0,Glee Cast,Fat Bottomed Girls
8098,Human NatureGlee Cast,48,56.0,Glee Cast,Human Nature
8099,Fly / I Believe I Can FlyGlee Cast,87,56.0,Glee Cast,Fly / I Believe I Can Fly
8100,Furthest ThingDrake,100,56.0,Drake,Furthest Thing
8101,MineBazzi,65,56.0,Bazzi,Mine
8102,Indica BaduLogic Featuring Wiz Khalifa,115,56.0,Logic Featuring Wiz Khalifa,Indica Badu
8103,Final FantasyDrake,0,56.0,Drake,Final Fantasy
8104,"EastsideBenny Blanco, Halsey & Khalid",21,56.0,"Benny Blanco, Halsey & Khalid",Eastside
8105,"If I'm Lyin, I'm FlyinKodak Black",65,56.0,Kodak Black,"If I'm Lyin, I'm Flyin"
8106,One CallGunna,79,78.0,Gunna,One Call
8107,My HappinessConnie Francis,76,57.0,Connie Francis,My Happiness
8108,Lipstick On Your CollarConnie Francis,105,57.0,Connie Francis,Lipstick On Your Collar
8109,Love LettersElvis Presley,71,57.0,Elvis Presley,Love Letters
8110,I'm Gonna Make You Love MeDiana Ross And The Supremes & The Temptations,49,57.0,Diana Ross And The Supremes & The Temptations,I'm Gonna Make You Love Me
8111,Heaven KnowsThe Grass Roots,118,57.0,The Grass Roots,Heaven Knows
8112,Never Can Say GoodbyeJackson 5,3,57.0,Jackson 5,Never Can Say Goodbye
8113,It's One Of Those Nights (Yes Love)The Partridge Family Starring Shirley Jones Featuring David Cassidy,1,57.0,The Partridge Family Starring Shirley Jones Featuring David Cassidy,It's One Of Those Nights (Yes Love)
8114,I'm Still In Love With YouAl Green,24,57.0,Al Green,I'm Still In Love With You
8115,I Just Fall In Love AgainAnne Murray,71,57.0,Anne Murray,I Just Fall In Love Again
8116,Is There Something I Should KnowDuran Duran,108,57.0,Duran Duran,Is There Something I Should Know
8117,Money Changes EverythingCyndi Lauper,32,57.0,Cyndi Lauper,Money Changes Everything
8118,Keeping The FaithBilly Joel,53,57.0,Billy Joel,Keeping The Faith
8119,Foolish BeatDebbie Gibson,115,57.0,Debbie Gibson,Foolish Beat
8120,One Moment In TimeWhitney Houston,95,57.0,Whitney Houston,One Moment In Time
8121,JoyrideRoxette,28,57.0,Roxette,Joyride
8122,How I'm Comin'LL Cool J,32,57.0,LL Cool J,How I'm Comin'
8123,IfJanet Jackson,91,57.0,Janet Jackson,If
8124,Now And ForeverRichard Marx,87,57.0,Richard Marx,Now And Forever
8125,Human NatureMadonna,2,57.0,Madonna,Human Nature
8126,Last Night On EarthU2,95,57.0,U2,Last Night On Earth
8127,I Got The Hook Up!Master P Featuring Sons Of Funk,114,57.0,Master P Featuring Sons Of Funk,I Got The Hook Up!
8128,Looking Through Your EyesLeAnn Rimes,11,57.0,LeAnn Rimes,Looking Through Your Eyes
8129,MiamiWill Smith,15,57.0,Will Smith,Miami
8130,"It Wasn't MeShaggy Featuring Ricardo ""RikRok"" Ducent",86,57.0,"Shaggy Featuring Ricardo ""RikRok"" Ducent",It Wasn't Me
8131,I Know What You WantBusta Rhymes & Mariah Carey Featuring The Flipmode Squad,61,57.0,Busta Rhymes & Mariah Carey Featuring The Flipmode Squad,I Know What You Want
8132,Hey Ya!OutKast,92,57.0,OutKast,Hey Ya!
8133,Give It 2 MeMadonna,30,57.0,Madonna,Give It 2 Me
8134,If I Never See Your Face AgainMaroon 5 Featuring Rihanna,93,57.0,Maroon 5 Featuring Rihanna,If I Never See Your Face Again
8135,Let's Get CrazyHannah Montana,58,75.0,Hannah Montana,Let's Get Crazy
8136,HeroChristopher Wilde,15,57.0,Christopher Wilde,Hero
8137,FireworkKaty Perry,86,57.0,Katy Perry,Firework
8138,JohnLil Wayne Featuring Rick Ross,30,57.0,Lil Wayne Featuring Rick Ross,John
8139,I Won't Back DownBlake Shelton & Dia Frampton,15,57.0,Blake Shelton & Dia Frampton,I Won't Back Down
8140,Love And WarTamar Braxton,28,98.0,Tamar Braxton,Love And War
8141,I'm Comin' OverChris Young,15,100.0,Chris Young,I'm Comin' Over
8142,Juju On That Beat (TZ Anthem)Zay Hilfigerrr & Zayion McCall,36,89.0,Zay Hilfigerrr & Zayion McCall,Juju On That Beat (TZ Anthem)
8143,Everybody DiesJ. Cole,40,57.0,J. Cole,Everybody Dies
8144,"Ghostface Killers21 Savage, Offset & Metro Boomin Featuring Travis Scott",46,57.0,"21 Savage, Offset & Metro Boomin Featuring Travis Scott",Ghostface Killers
8145,March 14Drake,1,57.0,Drake,14-Mar
8146,"JealousDJ Khaled Featuring Chris Brown, Lil Wayne & Big Sean",37,57.0,"DJ Khaled Featuring Chris Brown, Lil Wayne & Big Sean",Jealous
8147,Fool's ParadiseThe Crickets,10,58.0,The Crickets,Fool's Paradise
8148,Drip DropThe Drifters,10,85.0,The Drifters,Drip Drop
8149,MistyJohnny Mathis,85,58.0,Johnny Mathis,Misty
8150,He'll Have To GoJim Reeves,105,58.0,Jim Reeves,He'll Have To Go
8151,Follow That DreamElvis Presley,59,58.0,Elvis Presley,Follow That Dream
8152,It's Up To YouRick Nelson,1,58.0,Rick Nelson,It's Up To You
8153,Eve Of DestructionBarry McGuire,85,58.0,Barry McGuire,Eve Of Destruction
8154,Mrs. RobinsonSimon & Garfunkel,69,58.0,Simon & Garfunkel,Mrs. Robinson
8155,Fortunate SonCreedence Clearwater Revival,72,58.0,Creedence Clearwater Revival,Fortunate Son
8156,How Can I Forget/Gonna Give Her All The Love I've GotMarvin Gaye,1,58.0,Marvin Gaye,How Can I Forget/Gonna Give Her All The Love I've Got
8157,"OhioCrosby, Stills, Nash & Young",83,58.0,"Crosby, Stills, Nash & Young",Ohio
8158,Joy To The WorldThree Dog Night,81,58.0,Three Dog Night,Joy To The World
8159,One Love In My LifetimeDiana Ross,0,58.0,Diana Ross,One Love In My Lifetime
8160,Islands In The StreamKenny Rogers Duet With Dolly Parton,1,58.0,Kenny Rogers Duet With Dolly Parton,Islands In The Stream
8161,New Moon On MondayDuran Duran,63,58.0,Duran Duran,New Moon On Monday
8162,Head Over HeelsGo-Go's,85,58.0,Go-Go's,Head Over Heels
8163,I Just Called To Say I Love YouStevie Wonder,115,58.0,Stevie Wonder,I Just Called To Say I Love You
8164,Get It On (Bang A Gong)The Power Station,34,58.0,The Power Station,Get It On (Bang A Gong)
8165,MountainsPrince And The Revolution,55,58.0,Prince And The Revolution,Mountains
8166,Lay Your Hands On MeBon Jovi,86,58.0,Bon Jovi,Lay Your Hands On Me
8167,Love SongThe Cure,71,58.0,The Cure,Love Song
8168,If Wishes Came TrueSweet Sensation,14,58.0,Sweet Sensation,If Wishes Came True
8169,Far BehindCandlebox,94,58.0,Candlebox,Far Behind
8170,Mint CarThe Cure,35,58.0,The Cure,Mint Car
8171,"How Could You (From ""Bulletproof"")K-Ci & JoJo",1,58.0,K-Ci & JoJo,"How Could You (From ""Bulletproof"")"
8172,Hole In My SoulAerosmith,88,58.0,Aerosmith,Hole In My Soul
8173,I Just Wanna Love U (Give It 2 Me)JAY-Z,86,58.0,JAY-Z,I Just Wanna Love U (Give It 2 Me)
8174,JadedAerosmith,87,58.0,Aerosmith,Jaded
8175,Family PortraitP!nk,94,58.0,P!nk,Family Portrait
8176,I Can't WaitSleepy Brown Featuring OutKast,91,58.0,Sleepy Brown Featuring OutKast,I Can't Wait
8177,For GoodGlee Cast,62,58.0,Glee Cast,For Good
8178,Fall Downwill.i.am Featuring Miley Cyrus,32,58.0,will.i.am Featuring Miley Cyrus,Fall Down
8179,Kelly PriceMigos Featuring Travis Scott,117,58.0,Migos Featuring Travis Scott,Kelly Price
8180,God.Kendrick Lamar,108,58.0,Kendrick Lamar,God.
8181,Gummo6ix9ine,58,58.0,6ix9ine,Gummo
8182,MajestyNicki Minaj Featuring Eminem & Labrinth,2,58.0,Nicki Minaj Featuring Eminem & Labrinth,Majesty
8183,MoshPitKodak Black Featuring Juice WRLD,78,58.0,Kodak Black Featuring Juice WRLD,MoshPit
8184,No One But You (In My Heart)The Ames Brothers,1,59.0,The Ames Brothers,No One But You (In My Heart)
8185,Mack The KnifeBobby Darin,83,59.0,Bobby Darin,Mack The Knife
8186,Itsy Bitsy Teenie Weenie Yellow Polkadot BikiniBrian Hyland,1,59.0,Brian Hyland,Itsy Bitsy Teenie Weenie Yellow Polkadot Bikini
8187,KiddioBrook Benton,10,59.0,Brook Benton,Kiddio
8188,One Broken Heart For SaleElvis Presley With The Mello Men,1,59.0,Elvis Presley With The Mello Men,One Broken Heart For Sale
8189,I Wanna Be Where You AreMichael Jackson,116,59.0,Michael Jackson,I Wanna Be Where You Are
8190,Give Me Love - (Give Me Peace On Earth)George Harrison,85,59.0,George Harrison,Give Me Love - (Give Me Peace On Earth)
8191,Longfellow SerenadeNeil Diamond,19,59.0,Neil Diamond,Longfellow Serenade
8192,Junior's Farm/Sally GPaul McCartney And Wings,1,59.0,Paul McCartney And Wings,Junior's Farm/Sally G
8193,I Thought It Took A Little Time (But Today I Fell In Love)Diana Ross,97,59.0,Diana Ross,I Thought It Took A Little Time (But Today I Fell In Love)
8194,Let 'em InWings,74,59.0,Wings,Let 'em In
8195,Maybe I'm AmazedWings,1,59.0,Wings,Maybe I'm Amazed
8196,No More Tears (Enough Is Enough)Barbra Streisand/Donna Summer,1,59.0,Barbra Streisand/Donna Summer,No More Tears (Enough Is Enough)
8197,I Can't Go For That (No Can Do)Daryl Hall John Oates,32,59.0,Daryl Hall John Oates,I Can't Go For That (No Can Do)
8198,Heart To HeartKenny Loggins,106,59.0,Kenny Loggins,Heart To Heart
8199,Lawyers In LoveJackson Browne,63,59.0,Jackson Browne,Lawyers In Love
8200,"Eat It""Weird Al"" Yankovic",93,59.0,"""Weird Al"" Yankovic",Eat It
8201,MagicThe Cars,55,59.0,The Cars,Magic
8202,Lovin' Every Minute Of ItLoverboy,87,59.0,Loverboy,Lovin' Every Minute Of It
8203,Miami Vice ThemeJan Hammer,118,59.0,Jan Hammer,Miami Vice Theme
8204,I Knew You Were Waiting (For Me)Aretha Franklin & George Michael,1,59.0,Aretha Franklin & George Michael,I Knew You Were Waiting (For Me)
8205,Fading Like A Flower (Every Time You Leave)Roxette,19,59.0,Roxette,Fading Like A Flower (Every Time You Leave)
8206,Leave Virginia AloneRod Stewart,11,59.0,Rod Stewart,Leave Virginia Alone
8207,"Not Gon' Cry (From ""Waiting To Exhale"")Mary J. Blige",1,59.0,Mary J. Blige,"Not Gon' Cry (From ""Waiting To Exhale"")"
8208,Kissin' YouTotal,103,59.0,Total,Kissin' You
8209,No TimeLil' Kim Featuring Puff Daddy,94,59.0,Lil' Kim Featuring Puff Daddy,No Time
8210,Jazzy BelleOutKast,80,59.0,OutKast,Jazzy Belle
8211,LandslideFleetwood Mac,15,59.0,Fleetwood Mac,Landslide
8212,MamacitaPublic Announcement,112,59.0,Public Announcement,Mamacita
8213,Izzo (H.O.V.A.)JAY-Z,28,59.0,JAY-Z,Izzo (H.O.V.A.)
8214,Love Who You LoveRascal Flatts,85,59.0,Rascal Flatts,Love Who You Love
8215,King Of AnythingSara Bareilles,97,59.0,Sara Bareilles,King Of Anything
8216,International LovePitbull Featuring Chris Brown,86,92.0,Pitbull Featuring Chris Brown,International Love
8217,Girls Just Want To Have FunGlee Cast,40,59.0,Glee Cast,Girls Just Want To Have Fun
8218,Nothing Like UsJustin Bieber,93,59.0,Justin Bieber,Nothing Like Us
8219,Highway Don't CareTim McGraw With Taylor Swift,1,84.0,Tim McGraw With Taylor Swift,Highway Don't Care
8220,Hopeless WandererMumford & Sons,32,59.0,Mumford & Sons,Hopeless Wanderer
8221,It's YouZayn,112,59.0,Zayn,It's You
8222,HallelujahLeonard Cohen,53,59.0,Leonard Cohen,Hallelujah
8223,HappierEd Sheeran,97,59.0,Ed Sheeran,Happier
8224,EverybodyLogic,40,71.0,Logic,Everybody
8225,HittasLil Wayne,45,59.0,Lil Wayne,Hittas
8226,KIKA6ix9ine Featuring Tory Lanez,18,84.0,6ix9ine Featuring Tory Lanez,KIKA
8227,IsisJoyner Lucas Featuring Logic,92,59.0,Joyner Lucas Featuring Logic,Isis
8228,I Only Have Eyes For YouThe Flamingos,48,60.0,The Flamingos,I Only Have Eyes For You
8229,Lavender-BlueSammy Turner,1,60.0,Sammy Turner,Lavender-Blue
8230,I'm Gettin' BetterJim Reeves,18,60.0,Jim Reeves,I'm Gettin' Better
8231,Let The Good Times RollShirley & Lee,118,60.0,Shirley & Lee,Let The Good Times Roll
8232,My Empty ArmsJackie Wilson,71,60.0,Jackie Wilson,My Empty Arms
8233,Kissin' On The PhonePaul Anka,1,60.0,Paul Anka,Kissin' On The Phone
8234,In The Chapel In The MoonlightDean Martin,10,60.0,Dean Martin,In The Chapel In The Moonlight
8235,I'm A Better ManEngelbert Humperdinck,107,60.0,Engelbert Humperdinck,I'm A Better Man
8236,Have You Seen HerThe Chi-lites,74,60.0,The Chi-lites,Have You Seen Her
8237,Everything I OwnBread,49,60.0,Bread,Everything I Own
8238,Loves Me Like A RockPaul Simon (with The Dixie Hummingbirds),1,60.0,Paul Simon (with The Dixie Hummingbirds),Loves Me Like A Rock
8239,If You Leave Me NowChicago,92,60.0,Chicago,If You Leave Me Now
8240,I Can't Tell You WhyEagles,2,60.0,Eagles,I Can't Tell You Why
8241,Hot Girls In LoveLoverboy,55,60.0,Loverboy,Hot Girls In Love
8242,Hello AgainThe Cars,86,60.0,The Cars,Hello Again
8243,Everything She WantsWham!,62,60.0,Wham!,Everything She Wants
8244,How Will I KnowWhitney Houston,8,60.0,Whitney Houston,How Will I Know
8245,I Can't WaitStevie Nicks,8,60.0,Stevie Nicks,I Can't Wait
8246,Is It LoveMr. Mister,85,60.0,Mr. Mister,Is It Love
8247,I Don't Wanna Go On With You Like ThatElton John,8,60.0,Elton John,I Don't Wanna Go On With You Like That
8248,Every Rose Has Its ThornPoison,115,60.0,Poison,Every Rose Has Its Thorn
8249,Funky Cold MedinaTone-Loc,108,60.0,Tone-Loc,Funky Cold Medina
8250,I Drove All NightCyndi Lauper,80,60.0,Cyndi Lauper,I Drove All Night
8251,Love And UnderstandingCher,103,60.0,Cher,Love And Understanding
8252,I Adore Mi AmorColor Me Badd,30,60.0,Color Me Badd,I Adore Mi Amor
8253,Give Me One ReasonTracy Chapman,46,60.0,Tracy Chapman,Give Me One Reason
8254,Me And My Crazy WorldLost Boyz,74,60.0,Lost Boyz,Me And My Crazy World
8255,HeartbreakerMariah Carey Featuring Jay-Z,95,60.0,Mariah Carey Featuring Jay-Z,Heartbreaker
8256,Girl On TVLFO,11,60.0,LFO,Girl On TV
8257,MusicErick Sermon Featuring Marvin Gaye,45,60.0,Erick Sermon Featuring Marvin Gaye,Music
8258,My DestinyKatharine McPhee,86,60.0,Katharine McPhee,My Destiny
8259,Gotta Go My Own WayZac Efron & Vanessa Anne Hudgens,81,60.0,Zac Efron & Vanessa Anne Hudgens,Gotta Go My Own Way
8260,In This MomentDavid Archuleta,1,60.0,David Archuleta,In This Moment
8261,Losing My ReligionGlee Cast,87,60.0,Glee Cast,Losing My Religion
8262,"Give Me EverythingPitbull Featuring Ne-Yo, Afrojack & Nayer",80,60.0,"Pitbull Featuring Ne-Yo, Afrojack & Nayer",Give Me Everything
8263,Frick Park MarketMac Miller,15,60.0,Mac Miller,Frick Park Market
8264,Mmm YeahAustin Mahone Featuring Pitbull,19,93.0,Austin Mahone Featuring Pitbull,Mmm Yeah
8265,Follow Your ArrowKacey Musgraves,93,60.0,Kacey Musgraves,Follow Your Arrow
8266,Jumpsuittwenty one pilots,55,79.0,twenty one pilots,Jumpsuit
8267,I Might Need SecurityChance The Rapper,28,60.0,Chance The Rapper,I Might Need Security
8268,Ganja BurnsNicki Minaj,1,60.0,Nicki Minaj,Ganja Burns
8269,Good FormNicki Minaj Featuring Lil Wayne,15,89.0,Nicki Minaj Featuring Lil Wayne,Good Form
8270,Itchy Twitchy FeelingBobby Hendricks,76,61.0,Bobby Hendricks,Itchy Twitchy Feeling
8271,Mary Don't You WeepStonewall Jackson,72,61.0,Stonewall Jackson,Mary Don't You Weep
8272,EternallySarah Vaughan,36,61.0,Sarah Vaughan,Eternally
8273,For YouRick Nelson,1,61.0,Rick Nelson,For You
8274,I'm So ProudThe Impressions,71,61.0,The Impressions,I'm So Proud
8275,Ferry Cross The MerseyGerry And The Pacemakers,36,61.0,Gerry And The Pacemakers,Ferry Cross The Mersey
8276,Hang On SloopyRamsey Lewis Trio,82,61.0,Ramsey Lewis Trio,Hang On Sloopy
8277,GuantanameraThe Sandpipers,24,61.0,The Sandpipers,Guantanamera
8278,Heroes And VillainsThe Beach Boys,0,61.0,The Beach Boys,Heroes And Villains
8279,I'm WonderingStevie Wonder,21,61.0,Stevie Wonder,I'm Wondering
8280,I Can't Turn You LooseThe Chambers Brothers,2,61.0,The Chambers Brothers,I Can't Turn You Loose
8281,I Started A JokeBee Gees,49,61.0,Bee Gees,I Started A Joke
8282,"I Don't Want Nobody To Give Me Nothing (Open Up The Door, I'll Get It MyselJames Brown",1,61.0,James Brown,"I Don't Want Nobody To Give Me Nothing (Open Up The Door, I'll Get It Mysel"
8283,No Matter What Sign You AreDiana Ross & The Supremes,21,61.0,Diana Ross & The Supremes,No Matter What Sign You Are
8284,Good Old Rock 'N RollCat Mother & the All Night News Boys,1,61.0,Cat Mother & the All Night News Boys,Good Old Rock 'N Roll
8285,Love Of The Common PeopleThe Winstons,78,61.0,The Winstons,Love Of The Common People
8286,Eli's ComingThree Dog Night,119,61.0,Three Dog Night,Eli's Coming
8287,I'm A Greedy Man - Part IJames Brown,1,61.0,James Brown,I'm A Greedy Man - Part I
8288,I'd Like To Teach The World To Sing (In Perfect Harmony)The New Seekers,36,61.0,The New Seekers,I'd Like To Teach The World To Sing (In Perfect Harmony)
8289,Love TrainThe O'Jays,3,61.0,The O'Jays,Love Train
8290,Looking For SpaceJohn Denver,28,61.0,John Denver,Looking For Space
8291,I Made It Through The RainBarry Manilow,23,61.0,Barry Manilow,I Made It Through The Rain
8292,MusclesDiana Ross,53,61.0,Diana Ross,Muscles
8293,I've Got A Rock N' Roll HeartEric Clapton,24,61.0,Eric Clapton,I've Got A Rock N' Roll Heart
8294,If Anyone FallsStevie Nicks,108,61.0,Stevie Nicks,If Anyone Falls
8295,GirlsDwight Twilley,26,61.0,Dwight Twilley,Girls
8296,Hard Habit To BreakChicago,95,61.0,Chicago,Hard Habit To Break
8297,Invincible (Theme From The Legend Of Billie Jean)Pat Benatar,1,61.0,Pat Benatar,Invincible (Theme From The Legend Of Billie Jean)
8298,Love Is The Seventh WaveSting,26,61.0,Sting,Love Is The Seventh Wave
8299,KyrieMr. Mister,114,61.0,Mr. Mister,Kyrie
8300,Jumpin' Jack FlashAretha Franklin,32,61.0,Aretha Franklin,Jumpin' Jack Flash
8301,Hold OnEn Vogue,62,61.0,En Vogue,Hold On
8302,I'm Not In LoveWill To Power,45,61.0,Will To Power,I'm Not In Love
8303,"I'd Die Without You (From ""Boomerang"")P.M. Dawn",1,61.0,P.M. Dawn,"I'd Die Without You (From ""Boomerang"")"
8304,I Wanna Be DownBrandy,68,61.0,Brandy,I Wanna Be Down
8305,Get Over ItEagles,26,61.0,Eagles,Get Over It
8306,I KnowDionne Farris,86,61.0,Dionne Farris,I Know
8307,Feel Me FlowNaughty By Nature,26,61.0,Naughty By Nature,Feel Me Flow
8308,It's A PartyBusta Rhymes Featuring Zhane,53,61.0,Busta Rhymes Featuring Zhane,It's A Party
8309,Foolish Games/You Were Meant For MeJewel,1,61.0,Jewel,Foolish Games/You Were Meant For Me
8310,Gimme Some LoveGina G,87,61.0,Gina G,Gimme Some Love
8311,I'm AlrightJo Dee Messina,15,61.0,Jo Dee Messina,I'm Alright
8312,Love Me GoodMichael W. Smith,103,61.0,Michael W. Smith,Love Me Good
8313,Everybody's Free (To Wear Sunscreen)Baz Luhrmann,1,61.0,Baz Luhrmann,Everybody's Free (To Wear Sunscreen)
8314,Genie In A BottleChristina Aguilera,85,61.0,Christina Aguilera,Genie In A Bottle
8315,Never Had A Dream Come TrueS Club 7,28,61.0,S Club 7,Never Had A Dream Come True
8316,Just Like A PillP!nk,92,61.0,P!nk,Just Like A Pill
8317,Gangsta Lovin'Eve Featuring Alicia Keys,55,61.0,Eve Featuring Alicia Keys,Gangsta Lovin'
8318,Lifestyles Of The Rich And FamousGood Charlotte,82,61.0,Good Charlotte,Lifestyles Of The Rich And Famous
8319,FighterChristina Aguilera,11,61.0,Christina Aguilera,Fighter
8320,Miss IndependentKelly Clarkson,87,61.0,Kelly Clarkson,Miss Independent
8321,"Never Leave You - Uh Ooh, Uh Oooh!Lumidee",24,61.0,Lumidee,"Never Leave You - Uh Ooh, Uh Oooh!"
8322,EverytimeBritney Spears,19,61.0,Britney Spears,Everytime
8323,Movin' OnElliott Yamin,81,61.0,Elliott Yamin,Movin' On
8324,LostFaith Hill,108,61.0,Faith Hill,Lost
8325,Falling SlowlyThe Swell Season (Glen Hansard & Marketa Irglova),1,61.0,The Swell Season (Glen Hansard & Marketa Irglova),Falling Slowly
8326,La La LaLMFAO,26,61.0,LMFAO,La La La
8327,Hallelujah (Vancouver Winter 2010 Version)k.d. lang,101,61.0,k.d. lang,Hallelujah (Vancouver Winter 2010 Version)
8328,I DoYoung Jeezy Featuring Jay-Z & Andre 3000,1,61.0,Young Jeezy Featuring Jay-Z & Andre 3000,I Do
8329,Feel AgainOneRepublic,83,61.0,OneRepublic,Feel Again
8330,Just Gettin' StartedJason Aldean,79,94.0,Jason Aldean,Just Gettin' Started
8331,King KuntaKendrick Lamar,92,61.0,Kendrick Lamar,King Kunta
8332,HallelujahJordan Smith,82,61.0,Jordan Smith,Hallelujah
8333,Nothings Into SomethingsDrake,113,61.0,Drake,Nothings Into Somethings
8334,First Day OutKodak Black,3,61.0,Kodak Black,First Day Out
8335,Kooda6ix9ine,72,89.0,6ix9ine,Kooda
8336,Never Be The SameCamila Cabello,112,71.0,Camila Cabello,Never Be The Same
8337,For Your LoveEd Townsend,21,62.0,Ed Townsend,For Your Love
8338,Got The FeelingFabian,1,62.0,Fabian,Got The Feeling
8339,FroggThe Brothers Four,40,62.0,The Brothers Four,Frogg
8340,"Happy Birthday, Sweet SixteenNeil Sedaka",58,62.0,Neil Sedaka,"Happy Birthday, Sweet Sixteen"
8341,KicksPaul Revere & The Raiders Featuring Mark Lindsay,10,62.0,Paul Revere & The Raiders Featuring Mark Lindsay,Kicks
8342,Love Is Like An Itching In My HeartThe Supremes,73,62.0,The Supremes,Love Is Like An Itching In My Heart
8343,I Am A RockSimon & Garfunkel,107,62.0,Simon & Garfunkel,I Am A Rock
8344,Glad To Be UnhappyThe Mamas & The Papas,59,62.0,The Mamas & The Papas,Glad To Be Unhappy
8345,Everything That Touches YouThe Association,15,62.0,The Association,Everything That Touches You
8346,Jumpin' Jack FlashThe Rolling Stones,0,62.0,The Rolling Stones,Jumpin' Jack Flash
8347,Light My FireJose Feliciano,87,62.0,Jose Feliciano,Light My Fire
8348,Give Peace A ChancePlastic Ono Band,2,62.0,Plastic Ono Band,Give Peace A Chance
8349,Inner City Blues (Make Me Wanna Holler)Marvin Gaye,34,62.0,Marvin Gaye,Inner City Blues (Make Me Wanna Holler)
8350,Heart Of GoldNeil Young,49,62.0,Neil Young,Heart Of Gold
8351,Little Bitty Pretty OneJackson 5,107,62.0,Jackson 5,Little Bitty Pretty One
8352,I Need YouAmerica,83,62.0,America,I Need You
8353,Goodbye Yellow Brick RoadElton John,24,62.0,Elton John,Goodbye Yellow Brick Road
8354,Long TimeBoston,75,62.0,Boston,Long Time
8355,Making Love Out Of Nothing At AllAir Supply,60,62.0,Air Supply,Making Love Out Of Nothing At All
8356,If I'd Been The OneThirty Eight Special,1,62.0,Thirty Eight Special,If I'd Been The One
8357,Jump (for My Love)The Pointer Sisters,23,62.0,The Pointer Sisters,Jump (for My Love)
8358,I Do'wanna KnowREO Speedwagon,1,62.0,REO Speedwagon,I Do'wanna Know
8359,"Glory Of Love (Theme From ""The Karate Kid Part II"")Peter Cetera",1,62.0,Peter Cetera,"Glory Of Love (Theme From ""The Karate Kid Part II"")"
8360,Just BecauseAnita Baker,74,62.0,Anita Baker,Just Because
8361,Electric YouthDebbie Gibson,94,62.0,Debbie Gibson,Electric Youth
8362,ImpulsiveWilson Phillips,8,62.0,Wilson Phillips,Impulsive
8363,Music Makes Me HighLost Boyz,91,62.0,Lost Boyz,Music Makes Me High
8364,It's All About USWV,112,62.0,SWV,It's All About U
8365,EverywhereMichelle Branch,87,62.0,Michelle Branch,Everywhere
8366,Hey BabyNo Doubt Featuring Bounty Killer,97,62.0,No Doubt Featuring Bounty Killer,Hey Baby
8367,ManeaterNelly Furtado,63,62.0,Nelly Furtado,Maneater
8368,I Dreamed A DreamSusan Boyle,82,62.0,Susan Boyle,I Dreamed A Dream
8369,On FireLil Wayne,108,62.0,Lil Wayne,On Fire
8370,HangoverTaio Cruz Featuring Flo Rida,69,62.0,Taio Cruz Featuring Flo Rida,Hangover
8371,Moves Like Jagger / Jumpin' Jack FlashGlee Cast,79,62.0,Glee Cast,Moves Like Jagger / Jumpin' Jack Flash
8372,Everything Is AWESOME!!!Tegan And Sara Featuring The Lonely Island,78,62.0,Tegan And Sara Featuring The Lonely Island,Everything Is AWESOME!!!
8373,L$DA$AP Rocky,55,62.0,A$AP Rocky,L$D
8374,GangstaKehlani,73,100.0,Kehlani,Gangsta
8375,Ice MeltsDrake Featuring Young Thug,80,62.0,Drake Featuring Young Thug,Ice Melts
8376,Love So SoftKelly Clarkson,71,62.0,Kelly Clarkson,Love So Soft
8377,No CapFuture & Young Thug,36,62.0,Future & Young Thug,No Cap
8378,FamousMason Ramsey,24,62.0,Mason Ramsey,Famous
8379,"Freeee (Ghost Town, Pt. 2)KIDS SEE GHOSTS",97,62.0,KIDS SEE GHOSTS,"Freeee (Ghost Town, Pt. 2)"
8380,EverytimeAriana Grande,84,62.0,Ariana Grande,Everytime
8381,One MinuteXXXTENTACION Featuring Kanye West & Travis Barker,15,62.0,XXXTENTACION Featuring Kanye West & Travis Barker,One Minute
8382,IlomiloBillie Eilish,58,62.0,Billie Eilish,Ilomilo
8383,High School ConfidentialJerry Lee Lewis And His Pumping Piano,76,63.0,Jerry Lee Lewis And His Pumping Piano,High School Confidential
8384,I'll Be SatisfiedJackie Wilson,43,63.0,Jackie Wilson,I'll Be Satisfied
8385,Just A Little Too MuchRicky Nelson,84,63.0,Ricky Nelson,Just A Little Too Much
8386,MamaConnie Francis,55,63.0,Connie Francis,Mama
8387,He Will Break Your HeartJerry Butler,107,63.0,Jerry Butler,He Will Break Your Heart
